Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;"PLZ
(Standort Kraftwerk)";"Ort
(Standort Kraftwerk)";Strasse und Hausnummer (Standort Kraftwerk);Bundesland;Blockname;Datum der Aufnahme der kommerziellen Stromeinspeisung der Erzeugungseinheit [Datum/jahr];Kraftwerksstatus (in Betrieb/vorlaeufig stillgelegt/saisonale KonservierungReservekraftwerk/Sonderfall);Energietraeger;"Spezifizierung ""Mehrere Energietraeger"" und ""Sonstige Energietraeger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energietraeger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energietraeger (Zuordnung zu einem Hauptenergietraeger bei Mehreren Energietraegern)";"Foerderberechtigt nach EEG
(ja/nein)";"Waermeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknuepfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemaess Netzbetreiber;Netz- oder Umspannebene des Anschlusses;Name Stromnetzbetreiber
BNA0123;Lausitz Energie Kraftwerke AG;Boxberg;02943;Boxberg;Am Kraftwerk 1;Sachsen;P;01.07.1980;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;465,00 ;Baerwalde;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0122;Lausitz Energie Kraftwerke AG;Boxberg;02943;Boxberg;Am Kraftwerk 1;Sachsen;N;01.01.1979;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;465,00 ;Baerwalde;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA1941;Borkum Riffgrund 2 Offshore Wind Farm GmbH & Co. oHG;Borkum Riffgrund 2;test;Nordsee;;AWZ;;04.08.2018;In Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;464,80 ;DolWin Gamma;Hoechstspannung (HoeS);TenneT TSO GmbH
;Nicht-EEG-Anlagen < 10 MW;;;;;ohne Zuordnung;;01.01.1990;in Betrieb;Sonstige Energietraeger (nicht erneuerbar);;;"Sonstige Energietraeger
(nicht erneuerbar)";Nein;;460,60 ;;;
BNA0450;Steag GmbH;KW Herne;44653;Herne;Hertener Str. 16;Nordrhein-Westfalen;Herne 4;25.07.1989;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;460,00 ;220 kV Schaltanlage Bochum;Hoechstspannung (HoeS);Amprion GmbH
BNA1818;RheinEnergie AG;Niehl 3;50735;Koeln;;Nordrhein-Westfalen;Niehl 31;29.04.2016;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;459,90 ;UW Opladen / UW Koeln-Kalk;Hoechstspannung (HoeS);Amprion GmbH / Rheinische Netzgesellschaft
BNA0879;Uniper Kraftwerke GmbH;Schkopau;06258;Schkopau;;Sachsen-Anhalt;B;01.01.1996;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;450,00 ;Bad Lauchstedt;Hoechstspannung (HoeS);50Hertz Transmission GmbH/DB Energie GmbH
BNA0878;Uniper Kraftwerke GmbH;Schkopau;06258;Schkopau;;Sachsen-Anhalt;A;01.01.1996;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;450,00 ;Bad Lauchstedt;Hoechstspannung (HoeS);50Hertz Transmission GmbH/DB Energie GmbH
BNA1820;Gemeinschaftskraftwerk Bremen GmbH und Co. KG;KW Mittelsbueren;28237;Bremen;;Bremen;GuD MiBUe;01.10.2016;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;444,50 ;GIS;Hochspannung (HS);Wesernetz
BNA0073;Vattenfall Waerme Berlin AG;Mitte;10179;Berlin;Koepenicker Strasse 60;Berlin;GuD Mitte;30.12.1996;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;444,00 ;Mitte;Hochspannung (HS);Stromnetz Berlin GmbH
BNA0745;Uniper Kraftwerke GmbH;Franken 1;90449;Nuernberg;;Bayern;2;01.01.1976;in Betrieb;Mehrere Energietraeger;Erdgas, HEL;;Erdgas;Nein;Nein;440,00 ;Gebersdorf;Hochspannung (HS);Bayernwerk AG
BNA0646a;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestrasse 1;Baden-Wuerttemberg;Block 8;05.04.1993;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;435,00 ;DE00721570174000ZE000000398156VS0;Hoechstspannung (HoeS);TransnetBW GmbH
BNA0626;Kraftwerke Mainz-Wiesbaden AG;Kraftwerk Mainz;55120;Mainz;;Rheinland-Pfalz;KW3;23.05.2000;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;434,20 ;110-kV-Schaltanlage KW3;Hochspannung (HS);Mainzer Netze GmbH
BNA0245b;Statkraft Markets GmbH;Emden Gas;26725;Emden;;Niedersachsen;Dampfturbine;01.01.1973;Vorlaeufig Stillgelegt (ohne StA);Erdgas;;;Erdgas;Nein;Nein;433,00 ;Emden;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0020;EnBW Energie Baden-Wuerttemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestrasse 11;Baden-Wuerttemberg;ALT HKW 1;01.01.1985;Gesetzlich an Stilllegung gehindert;Steinkohle;;;Steinkohle;Nein;Ja;433,00 ;Altbach;Hoechstspannung (HoeS);Transnet BW GmbH
BNA0574b;Statkraft Markets GmbH;Landesbergen Gas;31628;Landesbergen;;Niedersachsen;Dampfturbine;01.01.1973;Vorlaeufig Stillgelegt (mit StA);Erdgas;;;Erdgas;Nein;Nein;431,00 ;Landesbergen;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0548b;Statkraft Markets GmbH;Knapsack Gas II;50351;Huerth-Knapsack;;Nordrhein-Westfalen;;01.07.2013;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;430,00 ;Knapsack;Hoechstspannung (HoeS);Amprion GmbH
BNA0645;Grosskraftwerk Mannheim AG;GKM ;68199;Mannheim;Marguerrestrasse 1;Baden-Wuerttemberg;Block 7;01.11.1982;gesetzlich an Stilllegung gehindert;Steinkohle;;;Steinkohle;Nein;Ja;425,00 ;DE00721570174000ZE000000398156VS0;Hoechstspannung (HoeS);TransnetBW GmbH
BNA0442;Mark-E AG / Statkraft Markets;Cuno Heizkraftwerk Herdecke;58313;Herdecke;;Nordrhein-Westfalen;H6;01.01.2007;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;417,00 ;U 106 und U 107;Hochspannung (HS);Enervie AssetNetWork GmbH 
BNA0993;Uniper Kraftwerke GmbH;Irsching;85088;Vohburg;;Bayern;3;01.01.1974;Gesetzlich an Stilllegung gehindert;Mineraloelprodukte;HEL;;Mineraloelprodukte;Nein;Nein;415,00 ;Irsching;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0545;RheinEnergie AG;HKW Niehl 2;50735;Koeln;;Nordrhein-Westfalen;GuD;26.03.2005;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;413,00 ;UW Mole;Hochspannung (HS);Rheinische NETZGesellschaft mbH 
BNA0615;BASF SE;Kraftwerk Sued;67056;Ludwigshafen;C 200;Rheinland-Pfalz;"GUD C 200
GT 1, GT 2, DT 1";14.07.1997;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;410,00 ;W211;Hoechstspannung (HoeS);Amprion GmbH
BNA0411;Trianel Gaskraftwerk Hamm GmbH & Co. KG ;Trianel Gaskraftwerk ;59071;Hamm;Trianelstrasse 1;Nordrhein-Westfalen;Block 20;01.03.2008;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;410,00 ;SA Geithe;Hoechstspannung (HoeS);Amprion GmbH
BNA0410;Trianel Gaskraftwerk Hamm GmbH & Co. KG ;Trianel Gaskraftwerk ;59071;Hamm;Trianelstrasse 1;Nordrhein-Westfalen;Block 10;01.03.2008;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;407,00 ;SA Geithe;Hoechstspannung (HoeS);Amprion GmbH
BNA1908;Veja Mate Offshore Project GmbH;OWP Veja Mate;59071;Nordsee;;AWZ;;01.01.1990;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;402,00 ;;;
BNA1562;Global Tech I Offshore Wind GmbH ;Global Tech I;59071;Nordsee;;AWZ;;01.09.2014;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;400,00 ;;Hochspannung (HS);TenneT TSO GmbH
BNA0039;Ocean Breeze Energy GmbH & Co. KG;Bard Offshore 1;59071;Nordsee ;90 km nordwestlich von Borkum;AWZ;;01.01.2013;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;400,00 ;Diele;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA1988;;Merkur Offshore;test;Nordsee;;AWZ;Merkur Offshore;01.01.2018;In Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;396,00 ;;;
BNA0816;TIWAG-Tiroler Wasserkraft AG;KW Kaunertal;A-6522;Prutz;;Oesterreich;Prutz;02.10.1964;Wegfall Istwertschaltung nach DE;Speicherwasser (ohne Pumpspeicher);;;Speicherwasser (ohne Pumpspeicher);Nein;Nein;392,00 ;UW Prutz;Hoechstspannung (HoeS);TIWAG-Netz AG/APG bzw. Amprion
BNA0379;Uniper Kraftwerke GmbH;Ingolstadt;85098;Grossmehring;;Bayern;4;01.01.1974;gesetzlich an Stilllegung gehindert;Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;386,00 ;Ingolstadt;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0378;Uniper Kraftwerke GmbH;Ingolstadt;85098;Grossmehring;;Bayern;3;01.01.1973;gesetzlich an Stilllegung gehindert;Mineraloelprodukte;;;Mineraloelprodukte;Nein;Nein;386,00 ;Ingolstadt;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0744;Uniper Kraftwerke GmbH;Franken 1;90449;Nuernberg;;Bayern;1;01.01.1973;in Betrieb;Mehrere Energietraeger;Erdgas, HEL;;Erdgas;Nein;Nein;383,00 ;Gebersdorf;Hochspannung (HS);Bayernwerk AG
BNA1940;AWE-Arkona-Windpark EntwicklungsGmbH;Arkona Becken Sued-Ost;test;Ostsee;;AWZ;;15.09.2018;In Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;378,00 ;;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0216a;Steag GmbH;KW Walsum;47179;Duisburg;Dr. Wilhelm-Roelen-Str.129;Nordrhein-Westfalen;Walsum 9;01.06.1988;Kohlestromvermarktungsverbot;Steinkohle;;;Steinkohle;Nein;Ja;370,00 ;220 kV Schaltanlage Walsum;Hoechstspannung (HoeS);Amprion GmbH
;EEG-Anlagen < 10 MW;;;;;Saarland;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;360,20 ;;;
BNA1910;EnBW Energie Baden-Wuerttemberg AG;"Vorarlberger Illwerke AG ""Obervermuntwerk II""";AT-6794;Partenen;;Oesterreich;OVW II;02.07.2018;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;360,00 ;Buers;Hoechstspannung (HoeS);Transnet BW GmbH
BNA0046;Schluchseewerk Aktiengesellschaft;Saeckingen;79713;Bad Saeckingen;Stollenweg 2;Baden-Wuerttemberg;Saeckingen;21.11.1966;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;360,00 ;Kuehmoos;Hoechstspannung (HoeS);Amprion/Transnet BW
BNA0605;RWE Generation SE;Emsland;49811;Lingen;;Niedersachsen;C2;01.01.1974;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;359,00 ;Hanekenfaehr;Hoechstspannung (HoeS);Amprion GmbH
BNA0604;RWE Generation SE;Emsland;49811;Lingen;;Niedersachsen;B2;01.01.1973;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;359,00 ;Hanekenfaehr;Hoechstspannung (HoeS);Amprion GmbH
BNA1045;RWE Generation SE;Gersteinwerk;59368;Werne;;Nordrhein-Westfalen;G2;01.01.1973;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;355,00 ;Gersteinwerk;Hoechstspannung (HoeS);Amprion GmbH
BNA1044;RWE Generation SE;Gersteinwerk;59368;Werne;;Nordrhein-Westfalen;F2;01.01.1973;in Betrieb;Erdgas;;;Erdgas;Nein;Nein;355,00 ;Gersteinwerk;Hoechstspannung (HoeS);Amprion GmbH
BNA1043;RWE Generation SE;Gersteinwerk;59368;Werne;;Nordrhein-Westfalen;I2;01.01.1973;Vorlaeufig Stillgelegt (mit StA);Erdgas;;;Erdgas;Nein;Nein;355,00 ;Gersteinwerk;Hoechstspannung (HoeS);Amprion GmbH
BNA1876;Iberdrola Renovables Offshore Deutschland GmbH;Wikinger;;Ostsee;;AWZ;Wikinger;27.12.2017;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;353,50 ;OSS Wikinger;Hoechstspannung (HoeS);50 Hertz Transmission GmbH
BNA0514;EnBW Energie Baden-Wuerttemberg AG;Rheinhafen-Dampfkraftwerk;76189;Karlsruhe;Fettweisstrasse 42;Baden-Wuerttemberg;RDK 4S;16.10.1998;Gesetzlich an Stilllegung gehindert;Erdgas;;;Erdgas;Nein;Nein;353,00 ;Daxlanden;Hoechstspannung (HoeS);Transnet BW GmbH
BNA0439;Helmstedter Revier GmbH;Buschhaus;38350;Helmstedt;;Niedersachsen;D;30.07.1985;Endgueltig Stillgelegt 2020 (ohne StA);Braunkohle;;;Braunkohle;Nein;Nein;352,00 ;Helmstedt;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0147;Onyx Germany MidCo GmbH;Farge;28777;Bremen;Wilhelmshavener Str. 6;Bremen;Farge;01.01.1969;in Betrieb;Mehrere Energietraeger;Steinkohle;Klaerschlamm, HSL, HEL;Steinkohle;Nein;Nein;350,00 ;Farge - FA1;Hoechstspannung (HoeS);TenneT TSO GmbH 
;EEG-Anlagen < 10 MW;;;;;Brandenburg;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;347,50 ;;;
;EEG-Anlagen < 10 MW;;;;;Mecklenburg-Vorpommern;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;347,20 ;;;
;EEG-Anlagen < 10 MW;;;;;Sachsen-Anhalt;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;345,90 ;;;
BNA0334;Uniper Kraftwerke GmbH ;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;E;01.01.1971;Endgueltig Stillgelegt 2014 (mit StA);Steinkohle;;;Steinkohle;Nein;Ja;345,00 ;Scholven;Hoechstspannung (HoeS);Amprion GmbH
BNA0333;Uniper Kraftwerke GmbH ;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;D;01.01.1970;Endgueltig Stillgelegt 2014 (mit StA);Steinkohle;;;Steinkohle;Nein;Ja;345,00 ;Scholven;Hoechstspannung (HoeS);Amprion GmbH
BNA0332;Uniper Kraftwerke GmbH;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;B;01.01.1968;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;345,00 ;Scholven;Hoechstspannung (HoeS);Amprion GmbH
BNA0331;Uniper Kraftwerke GmbH;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;C;01.01.1969;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;345,00 ;Scholven;Hoechstspannung (HoeS);Amprion GmbH
BNA0203;Uniper Kraftwerke GmbH ;Knepper;44357;Dortmund;;Nordrhein-Westfalen;C;01.01.1971;Endgueltig Stillgelegt 2014 (mit StA);Steinkohle;;;Steinkohle;Nein;Ja;345,00 ;Poeppinghausen;Hoechstspannung (HoeS);Amprion GmbH
BNA1825;Gode Wind 1 Offshore Wind Farm GmbH & Co. OHG;Gode Wind 1;44357;Nordsee;;AWZ;;28.05.2016;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;344,50 ;DolWin Beta;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0019;EnBW Energie Baden-Wuerttemberg AG;Heizkraftwerk Altbach/Deizisau;73776;Altbach;Industriestrasse 11;Baden-Wuerttemberg;ALT HKW 2 (DT Solobetrieb);01.01.1997;in Betrieb;Steinkohle;;;Steinkohle;Nein;Ja;336,00 ;Altbach;Hoechstspannung (HoeS);Transnet BW GmbH
BNA0811;Uniper Kraftwerke GmbH ;Kraftwerk Veltheim;32457;Porta Westfalica;;Nordrhein-Westfalen;4 DT;01.01.1975;Endgueltig Stillgelegt 2015 (mit StA);Mehrere Energietraeger;Erdgas, Heizoel EL ( 50 % );;Erdgas;Nein;Nein;335,00 ;UW - Veltheim;Hoechstspannung (HoeS);Netz Veltheim GmbH
BNA0627;Kraftwerke Mainz-Wiesbaden AG;Kraftwerk Mainz;55120;Mainz;;Rheinland-Pfalz;KW2;20.11.1976;gesetzlich an Stilllegung gehindert;Erdgas;;HEL;Erdgas;Nein;Ja;335,00 ;110-kV-Schaltanlage KW2;Hochspannung (HS);Mainzer Netze GmbH
BNA0969b;SWM Services GmbH;Nord 2;85774;Unterfoehring;;Bayern;2;15.12.1991;in Betrieb;Mehrere Energietraeger;Steinkohle;Gas;Steinkohle;Nein;Ja;333,00 ;HUW Foehring;Hochspannung (HS);SWM Infrastruktur GmbH
BNA1907;Nordsee One GmbH;Nordsee One;85774;Nordsee;;AWZ;;30.03.2017;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;332,10 ;DE00768226548HRA0000000NOONE00001, DE00768226548HRA0000000NOONE00002;Hoechstspannung (HoeS);TenneT TSO GmbH
BNA0091a;ENERTRAG Aktiengesellschaft;UW Bertikow;17291;Weselitz;Flur 1, Flurst. 130/1;Brandenburg;UW Bertikow;01.01.2003;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;328,00 ;UW Bertikow;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0619;Steag GmbH;KW Luenen;44536;Luenen;Moltkestr. 215;Nordrhein-Westfalen;Luenen 7;26.03.1970;Endgueltig Stillgelegt 2018 (mit StA);Steinkohle;;;Steinkohle;Nein;Ja;324,00 ;220 kV Schaltanlage Elmenhorst;Hoechstspannung (HoeS);Amprion GmbH
BNA0526;Gemeinschaftskraftwerk Kiel GmbH;Gemeinschaftskraftwerk Kiel;24149;Kiel;;Schleswig-Holstein;;02.10.1970;Endgueltig Stillgelegt 2019 (mit StA);Steinkohle;;;Steinkohle;Nein;Ja;323,00 ;Umspannwerk Hasselfelde;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0990;Steag GmbH;KW West;46562;Voerde;Frankfurter Str. 430;Nordrhein-Westfalen;West 1;01.01.1971;Endgueltig Stillgelegt 2017 (mit StA);Steinkohle;;;Steinkohle;Nein;Nein;322,00 ;220 kV Schaltanlage Moellen;Hoechstspannung (HoeS);Amprion GmbH
BNA1026;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;F;04.09.1967;in Betrieb;Mehrere Energietraeger;Braunkohle;Klaerschlamm;Braunkohle;Nein;Nein;321,00 ;Oberzier (380kV), Zukunft (110kV);Hochspannung (HS);Westnetz GmbH
BNA1025;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;E;02.12.1965;in Betrieb;Mehrere Energietraeger;Braunkohle;Klaerschlamm;Braunkohle;Nein;Nein;321,00 ;Zukunft;Hochspannung (HS);Westnetz GmbH
BNA0239;Uniper Kraftwerke GmbH;Huntorf;26931;Elsfleth;;Niedersachsen;;01.01.1978;in Betrieb;Erdgas;Druckluftspeicher;;Erdgas;Nein;Nein;321,00 ;Huntorf;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0989;Steag GmbH;KW West;46562;Voerde;Frankfurter Str. 430;Nordrhein-Westfalen;West 2;01.01.1971;Endgueltig Stillgelegt 2017 (mit StA);Steinkohle;;;Steinkohle;Nein;Nein;318,00 ;220 kV Schaltanlage Moellen;Hoechstspannung (HoeS);Amprion GmbH
BNA0467;Vattenfall Wasserkraft GmbH;Hohenwarte 2;07338;Hohenwarte;Presswitzer Str. 25;Thueringen;PSS A;26.07.1965;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;317,80 ;Remptendorf;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA1559;Borkum Riffgrund I Offshore Windpark A/S GmbH & Co. oHG;Borkum Riffgrund 1;07338;Nordsee;;AWZ;;16.02.2015;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;312,00 ;;Hoechstspannung (HoeS);Tennet TSO GmbH
BNA1037;Mark-E AG;Kraftwerk Werdohl-Elverlingsen;58791;Werdohl;;Nordrhein-Westfalen;E4;01.01.1982;Endgueltig Stillgelegt 2018 (mit StA);Mehrere Energietraeger;Steinkohle;Tiermehl, SBS;Steinkohle;Nein;Nein;310,00 ;U205;Hoechstspannung (HoeS);Enervie AssetNetWork GmbH 
BNA0813;Uniper Kraftwerke GmbH ;Kraftwerk Veltheim;32457;Porta Westfalica;;Nordrhein-Westfalen;3;01.01.1970;Endgueltig Stillgelegt 2015 (mit StA);Mehrere Energietraeger;Steinkohle;Klaerschlamm / Fluff;Steinkohle;Nein;Nein;303,00 ;UW - Veltheim;Hoechstspannung (HoeS);Netz Veltheim GmbH
BNA0486;Huettenwerke Krupp Mannesmann GmbH;Huckingen;47259;Duisburg-Huckingen;;Nordrhein-Westfalen;B;27.03.1977;in Betrieb;Mehrere Energietraeger;Erd-/Gicht-/Hochofengas;;"Sonstige Energietraeger
(nicht erneuerbar)";Nein;Ja;303,00 ;Muendelheim;Hoechstspannung (HoeS);Amprion GmbH
BNA0485;Huettenwerke Krupp Mannesmann GmbH;Huckingen;47259;Duisburg-Huckingen;;Nordrhein-Westfalen;A;17.01.1976;in Betrieb;Mehrere Energietraeger;Erd-/Gicht-/Hochofengas;;"Sonstige Energietraeger
(nicht erneuerbar)";Nein;Ja;303,00 ;Muendelheim;Hoechstspannung (HoeS);Amprion GmbH
BNA0146;swb Erzeugung AG & Co. KG;KW Hafen;28237;Bremen;Otavistr. 7-9;Bremen;Block 6;01.12.1979;Kohlestromvermarktungsverbot;Steinkohle;;;Steinkohle;Nein;Ja;303,00 ;DE0072032823700000000000000232558;Hochspannung (HS);Wesernetz Bremen GmbH
BNA1659;Amrum-Offshore West GmbH;Amrumbank West;28237;Nordsee;;AWZ;;03.10.2015;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);ja;Nein;302,40 ;"DE00768225761HRA0000000AMRWE00001
DE00768225761HRA0000000AMRWE00002
(HelWin2)";Hoechstspannung (HoeS);TenneT TSO GmbH
BNA0706;RWE Power AG;Niederaussem;50129;Bergheim;;Nordrhein-Westfalen;F;03.02.1971;Sicherheitsbereitschaft;Braunkohle;;;Braunkohle;Nein;Ja;299,00 ;Opladen;Hoechstspannung (HoeS);Amprion GmbH
BNA0705;RWE Power AG;Niederaussem;50129;Bergheim;;Nordrhein-Westfalen;D;31.05.1968;Endgueltig Stillgelegt 2020 (ohne StA);Braunkohle;;;Braunkohle;Nein;Ja;297,00 ;Brauweiler;Hoechstspannung (HoeS);Amprion GmbH
BNA1563;innogy SE;OWP Nordsee Ost;50129;Nordsee;AWZ, 33 km noerdlich Helgoland;AWZ;;01.01.2015;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;295,20 ;;USp. Hoch- / Mittelspannung (HS/MS);TenneT TSO GmbH
BNA0975;EnBW Energie Baden-Wuerttemberg AG;Rodundwerk II;A-6773;Vandans;;Oesterreich;Masch. 1;01.03.2011;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;nein;295,00 ;Buers;Hoechstspannung (HoeS);Transnet BW GmbH
BNA0713;RWE Power AG;Niederaussem;50129;Bergheim;;Nordrhein-Westfalen;E;12.04.1970;Sicherheitsbereitschaft;Braunkohle;;;Braunkohle;Nein;Nein;295,00 ;Rommerskirchen;Hoechstspannung (HoeS);Amprion GmbH
BNA0712;RWE Power AG;Niederaussem;50129;Bergheim;;Nordrhein-Westfalen;C;27.06.1965;in Betrieb;Braunkohle;;;Braunkohle;Nein;Ja;295,00 ;Brauweiler;Hoechstspannung (HoeS);Amprion GmbH
BNA0697;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;B;30.06.1972;in Betrieb;Braunkohle;;;Braunkohle;Nein;Nein;294,00 ;Opladen;Hoechstspannung (HoeS);Amprion GmbH
BNA0696;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;A;14.10.1972;in Betrieb;Braunkohle;;;Braunkohle;Nein;Nein;294,00 ;Osterath (220kV), Frimmersdorf (110kV) und Gohrpunkt (110kV);Hochspannung (HS);Amprion GmbH, Westnetz GmbH
BNA0376;Uniper Kraftwerke GmbH ;Staudinger;63538;Grosskrotzenburg;;Hessen;3;01.01.1970;Endgueltig Stillgelegt 2012 (ohne StA);Steinkohle;;;Steinkohle;Nein;Nein;293,00 ;Grosskrotzenburg;Hoechstspannung (HoeS);TenneT TSO GmbH 
BNA0221c;Stadtwerke Duesseldorf AG;Gasblock;40221;Duesseldorf;Auf der Lausward 75;Nordrhein-Westfalen;Block E;28.03.1977;Endgueltig Stillgelegt 2019 (mit StA);Erdgas;;;Erdgas;Nein;Ja;293,00 ;U71;Hochspannung (HS);Netzgesellschaft Duesseldorf mbH 
BNA0698;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;C;21.03.1973;Sicherheitsbereitschaft;Braunkohle;;;Braunkohle;Nein;Nein;292,00 ;Opladen;Hoechstspannung (HoeS);Amprion GmbH
BNA1935;Vattenfall Waerme Berlin AG;Lichterfelde;12207;Berlin;;Berlin;;11.04.2019;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;289,00 ;;Hochspannung (HS);
BNA1660;EnBW Baltic 2 S.C.S.;Baltic 2;;Ostsee;;AWZ;;24.04.2015;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);ja;Nein;288,00 ;;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA1564;OWP Butendiek GmbH & Co. KG;Butendiek;;Nordsee;SylWin-Cluster (5);AWZ;;04.02.2015;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;288,00 ;;Hochspannung (HS);TenneT TSO GmbH
BNA1561;WindMW GmbH;Meerwind Sued I Ost;;Nordsee;vor Helgoland;AWZ;;01.09.2014;in Betrieb;Windenergie (Offshore-Anlage);;;Windenergie (Offshore-Anlage);Ja;Nein;288,00 ;Helwin 1;155;TenneT TSO GmbH
BNA0413a;RWE Generation SE;Westfalen;59071;Hamm-Uentrop;;Nordrhein-Westfalen;C;01.01.1969;Endgueltig Stillgelegt 2016 (mit StA);Mehrere Energietraeger;Steinkohle;Tiermehl / SBS;Steinkohle;Nein;Nein;284,00 ;Lippborg;Hochspannung (HS);Westnetz GmbH
BNA0313;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;P;20.05.1966;Sicherheitsbereitschaft;Mehrere Energietraeger;Braunkohle;Papierschlamm;Braunkohle;Nein;Ja;284,00 ;Gohrpunkt und Frimmersdorf;Hochspannung (HS);Westnetz GmbH
